,Year,State,Disasters_2022
0,2022,AK,4.0
1,2022,AL,1.0
2,2022,AR,1.0
3,2022,AS,1.0
4,2022,AZ,2.0
5,2022,CA,1.0
6,2022,CO,2.0
7,2022,CT,2.0
8,2022,DC,0.0
9,2022,DE,1.0
10,2022,FL,10.0
11,2022,FM,0.0
12,2022,GA,0.0
13,2022,GU,0.0
14,2022,HI,1.0
15,2022,IA,1.0
16,2022,ID,1.0
17,2022,IL,1.0
18,2022,IN,0.0
19,2022,KS,2.0
20,2022,KY,2.0
21,2022,LA,0.0
22,2022,MA,1.0
23,2022,MD,0.0
24,2022,ME,1.0
25,2022,MH,0.0
26,2022,MI,0.0
27,2022,MN,4.0
28,2022,MO,1.0
29,2022,MP,0.0
30,2022,MS,1.0
31,2022,MT,1.0
32,2022,NC,0.0
33,2022,ND,1.0
34,2022,NE,2.0
35,2022,NH,1.0
36,2022,NJ,0.0
37,2022,NM,3.0
38,2022,NV,1.0
39,2022,NY,1.0
40,2022,OH,0.0
41,2022,OK,1.0
42,2022,OR,1.0
43,2022,PA,0.0
44,2022,PR,3.0
45,2022,PW,0.0
46,2022,RI,1.0
47,2022,SC,1.0
48,2022,SD,2.0
49,2022,TN,3.0
50,2022,TX,2.0
51,2022,UT,0.0
52,2022,VA,2.0
53,2022,VI,0.0
54,2022,VT,0.0
55,2022,WA,15.0
56,2022,WI,0.0
57,2022,WV,0.0
58,2022,WY,0.0
